DATE_TIME,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
10-06-2020 19:00,uHbuxQJl8lW7ozc,0.0,0.0,6645.0,7240508.0
28-05-2020 00:15,rGa61gmuvPhdLxV,0.0,0.0,0.0,7206549.0
17-05-2020 15:15,sjndEbLyjtCKgGv,7333.875,718.0625,6442.0,7036055.0
01-06-2020 04:15,ih0vzX44oOqAx2f,0.0,0.0,0.0,6308232.0
17-05-2020 09:00,z9Y9gH1T5YWrNuG,7665.5,750.4375,961.375,7021701.375
11-06-2020 20:30,ih0vzX44oOqAx2f,0.0,0.0,5521.0,6386553.0
22-05-2020 01:30,ih0vzX44oOqAx2f,0.0,0.0,0.0,6233543.0
31-05-2020 13:45,1BY6WEcLGh8j5v7,3661.142857,358.7142857,4605.857143,6376733.857
10-06-2020 14:45,zVJPv84UY57bAof,962.875,93.5125,5609.75,7316065.75
21-05-2020 16:00,adLQvlD726eNBSB,4058.75,398.6875,7573.125,6321188.125
14-06-2020 17:45,3PZuoBAID5Wc2HD,568.0,54.9625,7480.125,7218199.125
26-05-2020 12:15,bvBOhCH3iADSZry,11830.14286,1153.828571,4028.142857,6396364.143
11-06-2020 07:00,pkci93gMrogZuBj,822.8571429,79.85714286,35.14285714,7369329.143
01-06-2020 19:45,ZoEaEvLYb1n2sOq,0.0,0.0,5796.0,7228440.0
01-06-2020 08:00,uHbuxQJl8lW7ozc,6027.714286,590.6142857,482.1428571,7165835.143
22-05-2020 20:15,ZnxXDlPa8U1GXgE,0.0,0.0,7275.0,6579139.0
22-05-2020 06:45,sjndEbLyjtCKgGv,1182.0,114.9428571,55.14285714,7065941.143
31-05-2020 07:45,3PZuoBAID5Wc2HD,2253.125,220.8875,197.875,7109685.875
15-05-2020 22:45,WRmjgnKYAwPKWDb,0.0,0.0,0.0,7034815.0
19-05-2020 13:30,rGa61gmuvPhdLxV,7763.428571,759.9285714,4325.285714,7141227.286
31-05-2020 01:15,1IF53ai7Xc0U56Y,0.0,0.0,0.0,6305543.0
29-05-2020 19:00,WRmjgnKYAwPKWDb,0.0,0.0,8038.0,7140899.0
15-05-2020 01:15,McdE0feGgRqW7Ca,0.0,0.0,0.0,7158964.0
08-06-2020 18:15,zBIq5rxdHJRwDNY,453.625,43.875,8350.5,6523261.5
17-06-2020 04:30,ih0vzX44oOqAx2f,0.0,0.0,0.0,6420371.0
04-06-2020 18:00,WRmjgnKYAwPKWDb,780.8571429,75.77142857,8022.0,7182649.0
27-05-2020 13:00,1BY6WEcLGh8j5v7,7683.0,751.625,4121.375,6347790.375
25-05-2020 20:30,pkci93gMrogZuBj,0.0,0.0,8812.0,7250519.0
04-06-2020 05:00,wCURE6d3bPkepu2,0.0,0.0,0.0,6930776.0
08-06-2020 20:00,McdE0feGgRqW7Ca,0.0,0.0,8580.0,7346782.0
02-06-2020 14:00,pkci93gMrogZuBj,6763.875,662.4875,5415.625,7305715.625
30-05-2020 03:30,uHbuxQJl8lW7ozc,0.0,0.0,0.0,7151932.0
19-05-2020 19:30,ZoEaEvLYb1n2sOq,0.0,0.0,6805.0,7130332.0
16-06-2020 10:45,WRmjgnKYAwPKWDb,8655.285714,846.4714286,2375.142857,7263690.143
27-05-2020 23:30,ih0vzX44oOqAx2f,0.0,0.0,6564.0,6278855.0
23-05-2020 02:45,bvBOhCH3iADSZry,0.0,0.0,0.0,6368908.0
14-06-2020 03:00,iCRJl6heRkivqQ3,0.0,0.0,0.0,7399855.0
08-06-2020 05:15,zVJPv84UY57bAof,0.0,0.0,0.0,7293790.0
23-05-2020 07:45,bvBOhCH3iADSZry,3447.857143,338.9571429,214.5714286,6369122.571
27-05-2020 04:45,1IF53ai7Xc0U56Y,0.0,0.0,0.0,6274638.0
15-06-2020 22:15,1IF53ai7Xc0U56Y,0.0,0.0,6846.0,6421214.0
12-06-2020 04:15,wCURE6d3bPkepu2,0.0,0.0,0.0,6988054.0
17-05-2020 12:30,3PZuoBAID5Wc2HD,7456.125,729.225,4564.5,7005253.5
31-05-2020 07:30,ZoEaEvLYb1n2sOq,1954.285714,191.5714286,142.1428571,7216990.143
25-05-2020 02:00,zVJPv84UY57bAof,0.0,0.0,0.0,7188796.0
13-06-2020 23:30,3PZuoBAID5Wc2HD,0.0,0.0,8633.0,7210719.0
15-06-2020 14:30,wCURE6d3bPkepu2,10571.28571,1032.071429,5366.571429,7015064.571
28-05-2020 08:30,zBIq5rxdHJRwDNY,6311.428571,618.3428571,652.0,6434735.0
